"Story","Title","Result","Date","Stability","Duration (s)"
"Retrieve org service details integration test","Returns org service details by service code with status code200","ERROR","2021-04-27T16:44:32.169295+01:00[Europe/London]","0.0","0.09"
"Retrieve org service details integration test","Returns launch darkly forbidden when delete minimal pending organisation with invalid flag","ERROR","2021-04-27T16:44:32.265396+01:00[Europe/London]","0.0","0.1"
"Retrieve org service details integration test","Return org service details by ccd case type code200","ERROR","2021-04-27T16:44:32.365897+01:00[Europe/London]","0.0","0.08"
"Retrieve org service details integration test","Return org service details by ccd service name not found404","ERROR","2021-04-27T16:44:32.454437+01:00[Europe/London]","0.0","0.08"
"Retrieve org service details integration test","Do not return org service details by unknown ccd case type code 404","ERROR","2021-04-27T16:44:32.538575+01:00[Europe/London]","0.0","0.08"
"Retrieve org service details integration test","Return org service details by ccd service name all200","ERROR","2021-04-27T16:44:32.618046+01:00[Europe/London]","0.0","0.09"
"Retrieve org service details integration test","Return org service details by ccd case type ignore case code200","ERROR","2021-04-27T16:44:32.706894+01:00[Europe/London]","0.0","0.07"
"Retrieve org service details integration test","Do not return org service details by unknown service code 404","ERROR","2021-04-27T16:44:32.779466+01:00[Europe/London]","0.0","0.06"
"Retrieve org service details integration test","Returns org service details without input params 200","ERROR","2021-04-27T16:44:32.846414+01:00[Europe/London]","0.0","0.08"
